level_1,level_2,level_3,level_4,level_5,radius_mm
deformable,record_330_fat_empty_11,sample_0022,,,23.9
deformable,record_330_fat_empty_11,sample_0023,,,27.3
deformable,record_330_fat_empty_11,sample_0024,,,25.4
deformable,record_330_fat_empty_11,sample_0025,,,22.4
deformable,record_330_fat_empty_11,sample_0026,,,24.0
deformable,record_330_fat_empty_11,sample_0027,,,22.5
deformable,record_330_fat_empty_11,sample_0028,,,26.0
deformable,record_330_fat_empty_11,sample_0029,,,26.0
deformable,record_330_fat_empty_11,sample_0030,,,22.2
deformable,record_330_fat_empty_11,sample_0031,,,25.6
deformable,record_330_fat_empty_12,sample_0000,,,23.3
deformable,record_330_fat_empty_12,sample_0001,,,24.6
deformable,record_330_fat_empty_12,sample_0002,,,23.4
deformable,record_330_fat_empty_12,sample_0003,,,24.8
deformable,record_330_fat_empty_12,sample_0004,,,22.8
deformable,record_330_fat_empty_12,sample_0005,,,23.4
deformable,record_330_fat_empty_12,sample_0006,,,23.4
deformable,record_330_fat_empty_12,sample_0007,,,22.8
deformable,record_330_fat_empty_12,sample_0008,,,26.6
deformable,record_330_fat_empty_12,sample_0009,,,25.9
deformable,record_330_fat_empty_12,sample_0010,,,23.4
deformable,record_330_fat_empty_12,sample_0011,,,23.3
deformable,record_330_fat_empty_12,sample_0012,,,26.4
deformable,record_330_fat_empty_12,sample_0013,,,23.4
deformable,record_330_fat_empty_12,sample_0014,,,23.5
deformable,record_330_fat_empty_12,sample_0015,,,22.8
deformable,record_330_fat_empty_12,sample_0016,,,26.3
deformable,record_330_fat_empty_12,sample_0017,,,24.3
deformable,record_330_fat_empty_12,sample_0018,,,26.6
deformable,record_330_fat_empty_12,sample_0019,,,26.7
deformable,record_330_fat_empty_12,sample_0020,,,23.3
deformable,record_330_fat_empty_12,sample_0021,,,23.9
deformable,record_330_fat_empty_12,sample_0022,,,22.2
deformable,record_330_fat_empty_12,sample_0023,,,23.8
deformable,record_330_fat_empty_12,sample_0024,,,25.4
deformable,record_330_fat_empty_13,sample_0000,,,24.7
deformable,record_330_fat_empty_13,sample_0001,,,24.4
deformable,record_330_fat_empty_13,sample_0002,,,23.0
deformable,record_330_fat_empty_13,sample_0003,,,22.2
deformable,record_330_fat_empty_13,sample_0004,,,24.1
